2026-05-30 23:06:20.186637900 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 240 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:20.525936800 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 250 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:20.591446700 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 260 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:20.657179600 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 270 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:22.243418100 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 280 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:22.303764700 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 290 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:23.892656700 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 310 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:23.957184500 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 320 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:24.749209600 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 330 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:24.817793100 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 340 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:25.663635600 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 350 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:25.732322400 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 360 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:25.798812200 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 370 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:26.472819700 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 380 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:26.538934400 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 390 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:27.518436300 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 410 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:27.585489300 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 420 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:28.364500000 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 430 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:28.428931700 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 440 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:29.100817300 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 450 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:29.171505000 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 460 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:29.263283200 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 470 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:30.315885300 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 480 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:30.381315800 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 490 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:32.888369800 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 510 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:32.958752700 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 520 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:33.607659900 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 530 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:33.673246100 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 540 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:34.276071800 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 550 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:34.341592200 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 560 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:34.406790600 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 570 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:35.082740600 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 580 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:35.148146500 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 590 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:36.242143300 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 610 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:36.301196600 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 620 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:36.933077300 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 630 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:37.000910900 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 640 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:37.655017700 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 650 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:37.723146100 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 660 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:37.792832400 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 670 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:38.410126600 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 680 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:38.478069200 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 690 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:39.441044100 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 710 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:39.506698600 [wallet::utxo_scanning] [Thread:4296] DEBUG Scanned up to block 720 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:40.049237700 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 730 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:40.116591800 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 740 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:40.710062500 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 750 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:40.776444300 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 760 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:40.839526400 [wallet::utxo_scanning] [Thread:5916] DEBUG Scanned up to block 770 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:42.764460900 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 780 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:42.831186400 [wallet::utxo_scanning] [Thread:10796] DEBUG Scanned up to block 790 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:43.731191300 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 810 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:43.815983600 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 820 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:44.207300000 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 830 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:44.285217700 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 840 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
2026-05-30 23:06:44.644636200 [wallet::utxo_scanning] [Thread:10412] DEBUG Scanned up to block 850 with a current tip_height of 672056 // base_layer\wallet\src\utxo_scanner_service\utxo_scanner_task.rs:554
